iteration,docker start,docker end,execution start,execution end
85,1575006449.31854,1575006499.9989588,1575006499.99896,1575006514.6233902
86,1575006515.6278958,1575006566.1548386,1575006566.1548393,1575006580.985197
87,1575006582.055822,1575006632.1220644,1575006632.122065,1575006646.8904665
88,1575006647.986855,1575006697.8714201,1575006697.8714213,1575006712.6204987
89,1575006713.6761937,1575006764.343767,1575006764.3437681,1575006779.2046638
90,1575006780.2841175,1575006830.5842733,1575006830.5842755,1575006845.961895
91,1575006847.0609078,1575006896.9265356,1575006896.9265368,1575006911.754365
92,1575006912.8245401,1575006962.6887157,1575006962.6887167,1575006977.392118
93,1575006978.4704773,1575007028.353205,1575007028.3532057,1575007043.1981719
94,1575007044.2588925,1575007093.4690478,1575007093.469049,1575007108.1580844
95,1575007109.2442367,1575007159.3321812,1575007159.3321836,1575007174.1581428
96,1575007175.2679188,1575007226.380036,1575007226.3800383,1575007241.2585602
97,1575007242.3415332,1575007293.0911312,1575007293.0911322,1575007307.8414927
98,1575007308.9049518,1575007359.745504,1575007359.745506,1575007374.5613797
99,1575007375.6295402,1575007426.442543,1575007426.4425445,1575007441.2811756
