time,cpu,mem
1574977686.9043353-[26.7, 24.1, 21.4, 59.3, 69.2, 17.9, 46.4, 24.1]-svmem(total=16609853440, available=14087774208, percent=15.2, used=1959723008, free=12396199936, active=2367852544, inactive=1151107072, buffers=154431488, cached=2099499008, shared=270540800, slab=349716480)-
1574977687.1578968-[36.4, 35.3, 30.0, 65.5, 100.0, 36.7, 28.6, 19.2]-svmem(total=16609853440, available=14083829760, percent=15.2, used=1963401216, free=12392255488, active=2371747840, inactive=1151373312, buffers=154439680, cached=2099757056, shared=270807040, slab=349708288)-
1574977687.4085402-[12.0, 50.0, 16.0, 48.0, 66.7, 19.2, 15.4, 21.4]-svmem(total=16609853440, available=14083391488, percent=15.2, used=1963147264, free=12391809024, active=2368741376, inactive=1151533056, buffers=154439680, cached=2100457472, shared=271499264, slab=349671424)-
1574977687.65913-[25.0, 100.0, 25.0, 4.0, 0.0, 20.0, 7.7, 11.1]-svmem(total=16609853440, available=14081392640, percent=15.2, used=1965146112, free=12389806080, active=2372005888, inactive=1151537152, buffers=154439680, cached=2100461568, shared=271499264, slab=349659136)-
1574977687.909782-[15.4, 96.0, 28.6, 12.0, 11.5, 20.7, 4.3, 15.4]-svmem(total=16609853440, available=14081998848, percent=15.2, used=1964539904, free=12390420480, active=2372005888, inactive=1151528960, buffers=154439680, cached=2100453376, shared=271499264, slab=349659136)-
1574977688.1606102-[22.6, 96.0, 8.0, 20.0, 4.2, 17.2, 3.8, 3.8]-svmem(total=16609853440, available=14082306048, percent=15.2, used=1964232704, free=12390719488, active=2372292608, inactive=1151533056, buffers=154439680, cached=2100461568, shared=271499264, slab=349646848)-
1574977688.411059-[21.4, 37.5, 69.2, 17.9, 4.0, 7.7, 4.2, 8.3]-svmem(total=16609853440, available=14080393216, percent=15.2, used=1966145536, free=12388794368, active=2373492736, inactive=1151545344, buffers=154439680, cached=2100473856, shared=271499264, slab=349646848)-
1574977688.6616864-[24.1, 32.1, 16.7, 13.0, 16.0, 23.1, 88.5, 16.0]-svmem(total=16609853440, available=14098128896, percent=15.1, used=1948389376, free=12406530048, active=2355470336, inactive=1151545344, buffers=154439680, cached=2100494336, shared=271519744, slab=349646848)-
1574977688.912363-[65.4, 23.3, 4.0, 36.0, 0.0, 4.0, 8.3, 4.0]-svmem(total=16609853440, available=14088155136, percent=15.2, used=1958363136, free=12396556288, active=2365366272, inactive=1151545344, buffers=154439680, cached=2100494336, shared=271519744, slab=349655040)-
1574977689.1629179-[17.9, 56.0, 25.0, 56.0, 8.3, 15.4, 12.0, 15.4]-svmem(total=16609853440, available=14091100160, percent=15.2, used=1958363136, free=12399501312, active=2365341696, inactive=1148600320, buffers=154439680, cached=2097549312, shared=268574720, slab=349704192)-
1574977689.4134617-[29.2, 20.0, 8.3, 12.0, 80.0, 16.0, 4.2, 0.0]-svmem(total=16609853440, available=14102192128, percent=15.1, used=1947504640, free=12410593280, active=2354331648, inactive=1148366848, buffers=154439680, cached=2097315840, shared=268341248, slab=349736960)-
1574977689.664252-[26.7, 24.1, 14.3, 0.0, 0.0, 4.0, 8.3, 84.0]-svmem(total=16609853440, available=14098612224, percent=15.1, used=1951133696, free=12407009280, active=2359050240, inactive=1148317696, buffers=154439680, cached=2097270784, shared=268292096, slab=349708288)-
1574977689.9148662-[25.0, 64.0, 8.3, 12.0, 11.5, 19.2, 41.7, 20.8]-svmem(total=16609853440, available=14092242944, percent=15.2, used=1957502976, free=12400640000, active=2363977728, inactive=1148317696, buffers=154439680, cached=2097270784, shared=268292096, slab=349667328)-
1574977690.1657383-[25.8, 17.9, 12.0, 8.0, 4.0, 7.7, 100.0, 0.0]-svmem(total=16609853440, available=14090641408, percent=15.2, used=1959104512, free=12399038464, active=2367004672, inactive=1148317696, buffers=154439680, cached=2097270784, shared=268292096, slab=349667328)-
1574977690.416405-[24.1, 11.5, 23.1, 4.2, 8.0, 4.3, 23.1, 88.0]-svmem(total=16609853440, available=14090358784, percent=15.2, used=1959387136, free=12398743552, active=2366943232, inactive=1148329984, buffers=154439680, cached=2097283072, shared=268292096, slab=349691904)-
1574977690.667072-[36.7, 29.2, 28.0, 12.0, 9.1, 25.0, 58.3, 68.0]-svmem(total=16609853440, available=14092795904, percent=15.2, used=1956950016, free=12401188864, active=2367787008, inactive=1148321792, buffers=154439680, cached=2097274880, shared=268292096, slab=349691904)-
1574977690.9176881-[25.0, 26.7, 50.0, 12.5, 9.1, 21.4, 64.0, 58.3]-svmem(total=16609853440, available=14090399744, percent=15.2, used=1958248448, free=12398800896, active=2367066112, inactive=1149411328, buffers=154439680, cached=2098364416, shared=269389824, slab=349683712)-
1574977691.1683478-[17.9, 11.1, 37.5, 64.0, 23.3, 4.0, 0.0, 14.8]-svmem(total=16609853440, available=14086623232, percent=15.2, used=1962024960, free=12394881024, active=2369617920, inactive=1149550592, buffers=154439680, cached=2098507776, shared=269389824, slab=349663232)-
1574977691.4188795-[31.2, 11.5, 7.7, 92.0, 4.3, 8.0, 28.0, 4.2]-svmem(total=16609853440, available=14096158720, percent=15.1, used=1952489472, free=12404416512, active=2361475072, inactive=1149550592, buffers=154439680, cached=2098507776, shared=269389824, slab=349671424)-
1574977691.6696799-[100.0, 22.2, 40.0, 23.1, 12.0, 4.3, 28.0, 32.0]-svmem(total=16609853440, available=14087487488, percent=15.2, used=1961160704, free=12395778048, active=2370777088, inactive=1149550592, buffers=154439680, cached=2098475008, shared=269389824, slab=349638656)-
1574977691.9202452-[96.0, 18.5, 24.1, 25.0, 20.0, 16.0, 12.0, 34.6]-svmem(total=16609853440, available=14085029888, percent=15.2, used=1963618304, free=12393320448, active=2371821568, inactive=1149550592, buffers=154439680, cached=2098475008, shared=269389824, slab=349638656)-
1574977692.1708906-[61.5, 50.0, 23.1, 4.2, 12.0, 11.5, 0.0, 8.0]-svmem(total=16609853440, available=14085537792, percent=15.2, used=1963110400, free=12393816064, active=2370867200, inactive=1149550592, buffers=154447872, cached=2098479104, shared=269389824, slab=349618176)-
1574977692.421495-[36.0, 65.4, 14.8, 3.8, 4.0, 0.0, 7.7, 0.0]-svmem(total=16609853440, available=14085828608, percent=15.2, used=1962819584, free=12394106880, active=2369527808, inactive=1149550592, buffers=154447872, cached=2098479104, shared=269389824, slab=349618176)-
1574977692.6720998-[96.0, 31.4, 23.1, 4.0, 4.0, 4.0, 4.2, 8.0]-svmem(total=16609853440, available=14084247552, percent=15.2, used=1964400640, free=12392525824, active=2371571712, inactive=1149550592, buffers=154447872, cached=2098479104, shared=269389824, slab=349609984)-
1574977692.9228067-[19.2, 20.0, 28.0, 8.3, 14.8, 0.0, 56.0, 4.0]-svmem(total=16609853440, available=14085627904, percent=15.2, used=1963020288, free=12393906176, active=2368970752, inactive=1149550592, buffers=154447872, cached=2098479104, shared=269389824, slab=349609984)-
1574977693.1736631-[23.3, 4.2, 65.4, 4.0, 4.2, 42.3, 8.0, 0.0]-svmem(total=16609853440, available=14085926912, percent=15.2, used=1962721280, free=12394188800, active=2369626112, inactive=1149566976, buffers=154447872, cached=2098495488, shared=269389824, slab=349609984)-
1574977693.424427-[17.2, 4.0, 0.0, 4.0, 7.7, 8.0, 100.0, 12.0]-svmem(total=16609853440, available=14083788800, percent=15.2, used=1964863488, free=12392058880, active=2371964928, inactive=1149575168, buffers=154447872, cached=2098483200, shared=269385728, slab=349573120)-
1574977693.6750767-[30.0, 8.0, 96.0, 4.2, 4.3, 4.3, 12.0, 8.0]-svmem(total=16609853440, available=14088503296, percent=15.2, used=1960148992, free=12396773376, active=2367270912, inactive=1149575168, buffers=154447872, cached=2098483200, shared=269385728, slab=349589504)-
1574977693.9260004-[8.0, 11.5, 16.0, 85.2, 7.7, 7.7, 7.7, 11.5]-svmem(total=16609853440, available=14089154560, percent=15.2, used=1959497728, free=12397420544, active=2366230528, inactive=1149579264, buffers=154447872, cached=2098487296, shared=269385728, slab=349638656)-
1574977694.1765995-[28.6, 14.3, 11.5, 16.0, 0.0, 66.7, 4.2, 8.0]-svmem(total=16609853440, available=14088572928, percent=15.2, used=1959804928, free=12396838912, active=2365145088, inactive=1149825024, buffers=154447872, cached=2098761728, shared=269647872, slab=349622272)-
1574977694.4273093-[96.2, 25.8, 20.0, 12.0, 0.0, 4.0, 4.0, 4.0]-svmem(total=16609853440, available=14088413184, percent=15.2, used=1959976960, free=12396679168, active=2366599168, inactive=1149820928, buffers=154447872, cached=2098749440, shared=269647872, slab=349618176)-
1574977694.6779122-[50.0, 26.9, 18.5, 11.5, 57.7, 16.0, 8.3, 32.0]-svmem(total=16609853440, available=14084165632, percent=15.2, used=1962172416, free=12392423424, active=2368995328, inactive=1150550016, buffers=154447872, cached=2100809728, shared=271699968, slab=349609984)-
1574977694.9287908-[19.2, 22.2, 15.4, 24.0, 37.5, 65.4, 12.0, 26.9]-svmem(total=16609853440, available=14077857792, percent=15.2, used=1958203392, free=12386107392, active=2366193664, inactive=1153183744, buffers=154447872, cached=2111094784, shared=281976832, slab=349601792)-
1574977695.179403-[18.5, 0.0, 7.7, 7.7, 7.7, 66.7, 32.0, 0.0]-svmem(total=16609853440, available=14079373312, percent=15.2, used=1956687872, free=12387631104, active=2363133952, inactive=1153208320, buffers=154447872, cached=2111086592, shared=281976832, slab=349720576)-
1574977695.43011-[27.6, 25.0, 23.1, 96.2, 8.3, 15.4, 19.2, 20.8]-svmem(total=16609853440, available=14077386752, percent=15.2, used=1958674432, free=12385644544, active=2366386176, inactive=1153208320, buffers=154447872, cached=2111086592, shared=281976832, slab=349720576)-
1574977695.6807358-[25.9, 18.5, 29.6, 44.4, 20.0, 11.5, 66.7, 15.4]-svmem(total=16609853440, available=14077489152, percent=15.2, used=1958457344, free=12385738752, active=2365112320, inactive=1153277952, buffers=154447872, cached=2111209472, shared=282091520, slab=349638656)-
1574977695.9313886-[20.7, 21.4, 8.0, 14.8, 22.2, 8.3, 96.0, 4.0]-svmem(total=16609853440, available=14077542400, percent=15.2, used=1958404096, free=12385800192, active=2365165568, inactive=1153269760, buffers=154447872, cached=2111201280, shared=282091520, slab=349638656)-
1574977696.1819887-[32.4, 60.0, 7.7, 3.8, 4.0, 16.0, 48.0, 4.0]-svmem(total=16609853440, available=14077624320, percent=15.2, used=1958322176, free=12385882112, active=2364612608, inactive=1153269760, buffers=154447872, cached=2111201280, shared=282091520, slab=349638656)-
1574977696.4326642-[25.8, 96.0, 25.0, 25.8, 0.0, 0.0, 4.0, 4.0]-svmem(total=16609853440, available=14087053312, percent=15.2, used=1957748736, free=12395311104, active=2365472768, inactive=1153269760, buffers=154447872, cached=2102345728, shared=273235968, slab=349638656)-
1574977696.683144-[17.2, 88.0, 14.3, 21.4, 15.4, 0.0, 8.0, 4.0]-svmem(total=16609853440, available=14095990784, percent=15.1, used=1949052928, free=12404248576, active=2356776960, inactive=1153015808, buffers=154447872, cached=2102104064, shared=272994304, slab=349638656)-
1574977696.93371-[4.2, 15.4, 4.0, 7.7, 96.2, 4.0, 0.0, 15.4]-svmem(total=16609853440, available=14090444800, percent=15.2, used=1956192256, free=12398710784, active=2364231680, inactive=1151414272, buffers=154447872, cached=2100502528, shared=271400960, slab=349630464)-
1574977697.184527-[15.4, 50.0, 23.1, 57.7, 48.0, 12.0, 4.2, 4.2]-svmem(total=16609853440, available=14079369216, percent=15.2, used=1966116864, free=12387147776, active=2373586944, inactive=1153454080, buffers=154456064, cached=2102132736, shared=273022976, slab=349630464)-
1574977697.435089-[45.8, 29.6, 23.1, 68.0, 12.0, 25.0, 28.6, 25.9]-svmem(total=16609853440, available=14073442304, percent=15.3, used=1961590784, free=12380196864, active=2368962560, inactive=1156603904, buffers=154456064, cached=2113609728, shared=284495872, slab=349630464)-
