time,cpu,mem
1574977737.2878273-[17.2, 4.0, 4.0, 77.8, 20.0, 0.0, 0.0, 0.0]-svmem(total=16609853440, available=14092840960, percent=15.2, used=1978613760, free=12399742976, active=2382327808, inactive=1128296448, buffers=154521600, cached=2076975104, shared=247230464, slab=349794304)-
1574977737.5383337-[3.8, 3.8, 24.0, 0.0, 72.0, 0.0, 0.0, 3.8]-svmem(total=16609853440, available=14093623296, percent=15.1, used=1977831424, free=12400517120, active=2382393344, inactive=1128304640, buffers=154521600, cached=2076983296, shared=247230464, slab=349794304)-
1574977737.7890468-[0.0, 4.0, 61.5, 0.0, 37.5, 3.8, 0.0, 0.0]-svmem(total=16609853440, available=14093299712, percent=15.2, used=1978155008, free=12400201728, active=2383818752, inactive=1128296448, buffers=154521600, cached=2076975104, shared=247230464, slab=349786112)-
1574977738.0395892-[7.4, 0.0, 0.0, 0.0, 23.1, 0.0, 3.8, 79.2]-svmem(total=16609853440, available=14103494656, percent=15.1, used=1967960064, free=12410392576, active=2372448256, inactive=1128300544, buffers=154521600, cached=2076979200, shared=247230464, slab=349753344)-
1574977738.2901528-[23.3, 0.0, 4.2, 12.0, 0.0, 41.7, 4.0, 56.0]-svmem(total=16609853440, available=14093062144, percent=15.2, used=1978392576, free=12399968256, active=2384330752, inactive=1128292352, buffers=154521600, cached=2076971008, shared=247230464, slab=349745152)-
1574977738.5407083-[10.7, 3.8, 3.8, 0.0, 4.0, 44.4, 4.0, 56.0]-svmem(total=16609853440, available=14091780096, percent=15.2, used=1979674624, free=12398686208, active=2385498112, inactive=1128292352, buffers=154521600, cached=2076971008, shared=247230464, slab=349745152)-
1574977738.7913353-[76.0, 4.0, 0.0, 0.0, 0.0, 0.0, 0.0, 24.0]-svmem(total=16609853440, available=14091522048, percent=15.2, used=1979932672, free=12398428160, active=2385453056, inactive=1128292352, buffers=154521600, cached=2076971008, shared=247230464, slab=349745152)-
1574977739.0420156-[95.8, 3.8, 4.0, 0.0, 0.0, 0.0, 4.0, 0.0]-svmem(total=16609853440, available=14091522048, percent=15.2, used=1979932672, free=12398428160, active=2385412096, inactive=1128292352, buffers=154521600, cached=2076971008, shared=247230464, slab=349745152)-
1574977739.292509-[16.0, 7.4, 0.0, 0.0, 4.0, 4.0, 80.8, 0.0]-svmem(total=16609853440, available=14103777280, percent=15.1, used=1967677440, free=12410683392, active=2372653056, inactive=1128292352, buffers=154521600, cached=2076971008, shared=247230464, slab=349736960)-
1574977739.5430896-[7.7, 96.2, 4.0, 0.0, 0.0, 0.0, 0.0, 3.8]-svmem(total=16609853440, available=14092046336, percent=15.2, used=1979408384, free=12398952448, active=2385481728, inactive=1128292352, buffers=154521600, cached=2076971008, shared=247230464, slab=349745152)-
1574977739.7936218-[7.4, 0.0, 7.4, 0.0, 100.0, 0.0, 0.0, 0.0]-svmem(total=16609853440, available=14104043520, percent=15.1, used=1967411200, free=12410941440, active=2372780032, inactive=1128300544, buffers=154521600, cached=2076979200, shared=247230464, slab=349736960)-
1574977740.0441778-[0.0, 7.4, 0.0, 0.0, 20.0, 4.0, 4.0, 75.0]-svmem(total=16609853440, available=14094458880, percent=15.1, used=1976995840, free=12401340416, active=2382680064, inactive=1128316928, buffers=154521600, cached=2076995584, shared=247230464, slab=349745152)-
1574977740.2948456-[0.0, 0.0, 0.0, 0.0, 100.0, 4.0, 0.0, 0.0]-svmem(total=16609853440, available=14092304384, percent=15.2, used=1979146240, free=12399210496, active=2385616896, inactive=1128292352, buffers=154525696, cached=2076971008, shared=247230464, slab=349741056)-
1574977740.5455492-[10.7, 0.0, 4.0, 11.1, 26.9, 76.0, 3.8, 0.0]-svmem(total=16609853440, available=14091800576, percent=15.2, used=1979129856, free=12398694400, active=2385260544, inactive=1128296448, buffers=154529792, cached=2077499392, shared=247754752, slab=349741056)-
1574977740.7961628-[11.1, 7.7, 7.4, 3.8, 0.0, 32.0, 62.5, 3.8]-svmem(total=16609853440, available=14092300288, percent=15.2, used=1978630144, free=12399185920, active=2385403904, inactive=1128304640, buffers=154529792, cached=2077507584, shared=247754752, slab=349741056)-
1574977741.0467436-[0.0, 3.8, 0.0, 0.0, 64.0, 25.0, 11.5, 0.0]-svmem(total=16609853440, available=14093967360, percent=15.1, used=1976963072, free=12400848896, active=2382413824, inactive=1128308736, buffers=154529792, cached=2077511680, shared=247754752, slab=349716480)-
1574977741.2973933-[3.8, 10.7, 4.2, 32.0, 3.8, 69.2, 0.0, 7.7]-svmem(total=16609853440, available=14092918784, percent=15.2, used=1978011648, free=12399800320, active=2384556032, inactive=1128300544, buffers=154529792, cached=2077511680, shared=247754752, slab=349732864)-
1574977741.5479972-[10.7, 0.0, 0.0, 41.7, 0.0, 54.2, 11.1, 0.0]-svmem(total=16609853440, available=14090264576, percent=15.2, used=1980665856, free=12397146112, active=2387243008, inactive=1128300544, buffers=154529792, cached=2077511680, shared=247754752, slab=349720576)-
1574977741.7986698-[0.0, 0.0, 0.0, 3.8, 3.8, 96.2, 0.0, 0.0]-svmem(total=16609853440, available=14090522624, percent=15.2, used=1980407808, free=12397412352, active=2387374080, inactive=1128292352, buffers=154529792, cached=2077503488, shared=247754752, slab=349720576)-
1574977742.0493515-[7.4, 4.0, 76.9, 0.0, 4.0, 25.0, 4.0, 3.8]-svmem(total=16609853440, available=14097522688, percent=15.1, used=1973407744, free=12404404224, active=2379878400, inactive=1128300544, buffers=154529792, cached=2077511680, shared=247754752, slab=349720576)-
1574977742.2999332-[42.3, 14.3, 60.0, 4.0, 4.0, 3.8, 0.0, 7.7]-svmem(total=16609853440, available=14091141120, percent=15.2, used=1980321792, free=12398022656, active=2386944000, inactive=1128300544, buffers=154529792, cached=2076979200, shared=247488512, slab=349720576)-
1574977742.550493-[40.0, 4.0, 4.0, 0.0, 3.8, 7.7, 0.0, 60.0]-svmem(total=16609853440, available=14088585216, percent=15.2, used=1982877696, free=12395458560, active=2388635648, inactive=1128308736, buffers=154529792, cached=2076987392, shared=247488512, slab=349720576)-
1574977742.8011894-[3.8, 0.0, 0.0, 0.0, 56.0, 0.0, 4.0, 40.0]-svmem(total=16609853440, available=14088310784, percent=15.2, used=1983152128, free=12395184128, active=2388869120, inactive=1128308736, buffers=154529792, cached=2076987392, shared=247488512, slab=349716480)-
1574977743.0518486-[0.0, 0.0, 0.0, 0.0, 100.0, 0.0, 3.8, 0.0]-svmem(total=16609853440, available=14088581120, percent=15.2, used=1982881792, free=12395450368, active=2388807680, inactive=1128312832, buffers=154529792, cached=2076991488, shared=247488512, slab=349716480)-
1574977743.3024318-[11.1, 4.0, 3.8, 56.0, 40.0, 0.0, 0.0, 0.0]-svmem(total=16609853440, available=14087946240, percent=15.2, used=1983508480, free=12394823680, active=2389606400, inactive=1128304640, buffers=154529792, cached=2076991488, shared=247230464, slab=349716480)-
1574977743.5530806-[0.0, 10.7, 0.0, 19.2, 84.6, 0.0, 0.0, 0.0]-svmem(total=16609853440, available=14087696384, percent=15.2, used=1983758336, free=12394573824, active=2389450752, inactive=1128304640, buffers=154529792, cached=2076991488, shared=247230464, slab=349716480)-
1574977743.8036048-[11.1, 4.0, 0.0, 12.0, 16.0, 70.4, 3.8, 4.0]-svmem(total=16609853440, available=14095298560, percent=15.1, used=1976156160, free=12402176000, active=2382356480, inactive=1128304640, buffers=154529792, cached=2076991488, shared=247230464, slab=349716480)-
1574977744.054108-[25.0, 7.7, 4.0, 73.1, 4.0, 0.0, 0.0, 0.0]-svmem(total=16609853440, available=14090203136, percent=15.2, used=1981251584, free=12397080576, active=2386436096, inactive=1128304640, buffers=154529792, cached=2076991488, shared=247230464, slab=349716480)-
1574977744.304678-[35.7, 65.4, 7.4, 0.0, 0.0, 0.0, 7.7, 0.0]-svmem(total=16609853440, available=14087954432, percent=15.2, used=1983500288, free=12394831872, active=2389090304, inactive=1128304640, buffers=154529792, cached=2076991488, shared=247230464, slab=349716480)-
1574977744.5557904-[3.8, 96.0, 0.0, 17.2, 0.0, 0.0, 3.8, 0.0]-svmem(total=16609853440, available=14087946240, percent=15.2, used=1983508480, free=12394831872, active=2388934656, inactive=1128296448, buffers=154529792, cached=2076983296, shared=247230464, slab=349712384)-
1574977744.8064322-[7.7, 70.8, 24.0, 3.8, 7.7, 4.0, 0.0, 3.8]-svmem(total=16609853440, available=14089826304, percent=15.2, used=1981628416, free=12396703744, active=2386038784, inactive=1128304640, buffers=154529792, cached=2076991488, shared=247230464, slab=349712384)-
1574977745.0570245-[10.7, 26.9, 76.0, 4.0, 0.0, 0.0, 0.0, 0.0]-svmem(total=16609853440, available=14089670656, percent=15.2, used=1981784064, free=12396556288, active=2386141184, inactive=1128296448, buffers=154529792, cached=2076983296, shared=247230464, slab=349712384)-
1574977745.307605-[10.7, 96.0, 3.8, 0.0, 0.0, 7.7, 7.7, 3.8]-svmem(total=16609853440, available=14088204288, percent=15.2, used=1983250432, free=12395089920, active=2389221376, inactive=1128296448, buffers=154529792, cached=2076983296, shared=247230464, slab=349712384)-
1574977745.5581727-[0.0, 58.3, 0.0, 4.0, 36.0, 0.0, 0.0, 0.0]-svmem(total=16609853440, available=14089355264, percent=15.2, used=1982099456, free=12396232704, active=2388107264, inactive=1128296448, buffers=154537984, cached=2076983296, shared=247230464, slab=349704192)-
1574977745.8088589-[4.0, 56.0, 3.8, 4.0, 42.3, 3.8, 0.0, 0.0]-svmem(total=16609853440, available=14097641472, percent=15.1, used=1973813248, free=12404498432, active=2380615680, inactive=1128316928, buffers=154537984, cached=2077003776, shared=247230464, slab=349704192)-
1574977746.0595753-[7.4, 0.0, 0.0, 26.9, 75.0, 4.0, 4.0, 3.8]-svmem(total=16609853440, available=14089822208, percent=15.2, used=1981632512, free=12396687360, active=2387124224, inactive=1128308736, buffers=154537984, cached=2076995584, shared=247230464, slab=349708288)-
1574977746.3100786-[10.7, 15.4, 0.0, 88.5, 0.0, 4.0, 0.0, 8.0]-svmem(total=16609853440, available=14095818752, percent=15.1, used=1975635968, free=12402683904, active=2382004224, inactive=1128308736, buffers=154537984, cached=2076995584, shared=247230464, slab=349708288)-
1574977746.5605817-[3.8, 68.0, 16.7, 0.0, 32.0, 0.0, 7.4, 7.7]-svmem(total=16609853440, available=14089846784, percent=15.2, used=1981607936, free=12396703744, active=2386935808, inactive=1128316928, buffers=154537984, cached=2077003776, shared=247230464, slab=349708288)-
1574977746.8113816-[29.2, 3.8, 0.0, 0.0, 72.0, 7.7, 4.0, 0.0]-svmem(total=16609853440, available=14090629120, percent=15.2, used=1980825600, free=12397486080, active=2386608128, inactive=1128316928, buffers=154537984, cached=2077003776, shared=247230464, slab=349708288)-
1574977747.0620728-[96.2, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]-svmem(total=16609853440, available=14088507392, percent=15.2, used=1982947328, free=12395364352, active=2389458944, inactive=1128316928, buffers=154537984, cached=2077003776, shared=247230464, slab=349708288)-
1574977747.3126943-[28.6, 0.0, 0.0, 3.8, 3.8, 76.9, 4.2, 8.0]-svmem(total=16609853440, available=14091083776, percent=15.2, used=1980370944, free=12397936640, active=2386944000, inactive=1128312832, buffers=154537984, cached=2077007872, shared=247230464, slab=349708288)-
1574977747.5632644-[11.1, 3.8, 0.0, 0.0, 4.0, 50.0, 0.0, 48.0]-svmem(total=16609853440, available=14088503296, percent=15.2, used=1982951424, free=12395356160, active=2389291008, inactive=1128312832, buffers=154537984, cached=2077007872, shared=247230464, slab=349708288)-
1574977747.8138447-[4.0, 7.4, 0.0, 0.0, 60.0, 4.0, 4.0, 36.0]-svmem(total=16609853440, available=14087970816, percent=15.2, used=1983483904, free=12394823680, active=2389143552, inactive=1128312832, buffers=154537984, cached=2077007872, shared=247230464, slab=349704192)-
1574977748.0644035-[4.0, 14.3, 0.0, 0.0, 26.9, 4.0, 68.0, 3.8]-svmem(total=16609853440, available=14098427904, percent=15.1, used=1973026816, free=12405272576, active=2379026432, inactive=1128321024, buffers=154537984, cached=2077016064, shared=247230464, slab=349704192)-
1574977748.3149054-[13.8, 4.0, 4.0, 0.0, 32.0, 68.0, 3.8, 4.0]-svmem(total=16609853440, available=14090895360, percent=15.2, used=1980559360, free=12397735936, active=2386272256, inactive=1128325120, buffers=154537984, cached=2077020160, shared=247230464, slab=349704192)-
1574977748.5655446-[4.0, 7.4, 0.0, 3.8, 54.2, 0.0, 44.0, 7.7]-svmem(total=16609853440, available=14089048064, percent=15.2, used=1982406656, free=12395888640, active=2389123072, inactive=1128325120, buffers=154537984, cached=2077020160, shared=247230464, slab=349704192)-
1574977748.8162942-[15.4, 4.0, 66.7, 4.2, 11.1, 0.0, 32.0, 11.1]-svmem(total=16609853440, available=14089023488, percent=15.2, used=1982431232, free=12395864064, active=2389102592, inactive=1128325120, buffers=154537984, cached=2077020160, shared=247230464, slab=349704192)-
1574977749.0671248-[14.3, 3.8, 37.5, 0.0, 8.3, 4.2, 64.0, 0.0]-svmem(total=16609853440, available=14089015296, percent=15.2, used=1982439424, free=12395855872, active=2389131264, inactive=1128325120, buffers=154537984, cached=2077020160, shared=247230464, slab=349704192)-
1574977749.3177664-[11.1, 11.5, 3.8, 65.4, 4.3, 0.0, 37.5, 0.0]-svmem(total=16609853440, available=14088507392, percent=15.2, used=1982599168, free=12395356160, active=2389012480, inactive=1128562688, buffers=154537984, cached=2077360128, shared=247578624, slab=349704192)-
1574977749.5683043-[11.1, 3.8, 7.7, 4.2, 62.5, 0.0, 28.0, 0.0]-svmem(total=16609853440, available=14090911744, percent=15.2, used=1980194816, free=12397760512, active=2386231296, inactive=1128562688, buffers=154537984, cached=2077360128, shared=247578624, slab=349704192)-
1574977749.81883-[25.0, 8.0, 8.0, 16.0, 23.1, 36.0, 72.0, 4.3]-svmem(total=16609853440, available=14060945408, percent=15.3, used=1978310656, free=12367794176, active=2386534400, inactive=1149476864, buffers=154537984, cached=2109210624, shared=279429120, slab=349704192)-
1574977750.069494-[20.0, 4.3, 29.2, 20.8, 33.3, 96.0, 16.0, 18.5]-svmem(total=16609853440, available=14055866368, percent=15.4, used=1981149184, free=12361691136, active=2386100224, inactive=1151193088, buffers=154537984, cached=2112475136, shared=282701824, slab=349741056)-
1574977750.320112-[62.5, 19.2, 25.9, 19.2, 16.7, 56.0, 12.0, 24.0]-svmem(total=16609853440, available=14051250176, percent=15.4, used=1982070784, free=12357050368, active=2388869120, inactive=1154387968, buffers=154537984, cached=2116194304, shared=286412800, slab=349741056)-
1574977750.5706842-[96.0, 24.1, 26.9, 8.0, 12.0, 4.2, 12.0, 30.3]-svmem(total=16609853440, available=14054146048, percent=15.4, used=1979174912, free=12359815168, active=2382913536, inactive=1154519040, buffers=154546176, cached=2116317184, shared=286412800, slab=349777920)-
1574977750.8217142-[100.0, 31.2, 25.0, 26.7, 28.6, 30.0, 15.4, 26.7]-svmem(total=16609853440, available=14051487744, percent=15.4, used=1981833216, free=12357156864, active=2385768448, inactive=1154510848, buffers=154546176, cached=2116317184, shared=286412800, slab=349777920)-
1574977751.0724504-[34.5, 17.9, 26.7, 35.7, 11.5, 84.6, 18.5, 25.0]-svmem(total=16609853440, available=14061428736, percent=15.3, used=1971761152, free=12367081472, active=2376765440, inactive=1154650112, buffers=154546176, cached=2116464640, shared=286543872, slab=349904896)-
1574977751.3232665-[28.6, 14.8, 18.5, 11.5, 8.0, 16.7, 8.0, 88.0]-svmem(total=16609853440, available=14074339328, percent=15.3, used=1972736000, free=12379996160, active=2378752000, inactive=1154011136, buffers=154546176, cached=2102575104, shared=272658432, slab=349896704)-
1574977751.573812-[100.0, 29.0, 7.7, 7.7, 0.0, 4.0, 4.0, 0.0]-svmem(total=16609853440, available=14078468096, percent=15.2, used=1968836608, free=12384182272, active=2374156288, inactive=1153810432, buffers=154546176, cached=2102288384, shared=272429056, slab=349822976)-
1574977751.8245096-[4.0, 20.0, 20.0, 8.0, 83.3, 11.5, 4.2, 11.5]-svmem(total=16609853440, available=14071517184, percent=15.3, used=1975922688, free=12377231360, active=2381230080, inactive=1153564672, buffers=154546176, cached=2102153216, shared=272293888, slab=349831168)-
1574977752.075015-[21.4, 22.2, 84.6, 16.7, 24.0, 12.0, 4.0, 12.5]-svmem(total=16609853440, available=14071742464, percent=15.3, used=1974902784, free=12377456640, active=2379333632, inactive=1154342912, buffers=154546176, cached=2102947840, shared=273088512, slab=349798400)-
1574977752.3255925-[0.0, 8.7, 8.3, 16.0, 96.2, 4.3, 8.3, 15.4]-svmem(total=16609853440, available=14076547072, percent=15.3, used=1970696192, free=12382261248, active=2374885376, inactive=1154375680, buffers=154546176, cached=2102349824, shared=272490496, slab=349749248)-
1574977752.5761912-[31.2, 20.0, 8.0, 8.3, 19.2, 0.0, 12.5, 92.0]-svmem(total=16609853440, available=14073536512, percent=15.3, used=1973706752, free=12379242496, active=2378391552, inactive=1154383872, buffers=154546176, cached=2102358016, shared=272490496, slab=349749248)-
1574977752.8267486-[76.0, 18.5, 20.7, 11.5, 12.0, 17.9, 40.0, 14.3]-svmem(total=16609853440, available=14066241536, percent=15.3, used=1981001728, free=12371947520, active=2384539648, inactive=1154383872, buffers=154546176, cached=2102358016, shared=272490496, slab=349749248)-
1574977753.077294-[21.4, 14.8, 20.0, 30.8, 22.2, 8.0, 96.0, 11.5]-svmem(total=16609853440, available=14073769984, percent=15.3, used=1973227520, free=12379467776, active=2379124736, inactive=1154637824, buffers=154546176, cached=2102611968, shared=272736256, slab=349749248)-
1574977753.3281617-[29.6, 30.4, 8.0, 32.0, 12.0, 95.8, 14.8, 12.5]-svmem(total=16609853440, available=14061379584, percent=15.3, used=1973018624, free=12367081472, active=2380156928, inactive=1158246400, buffers=154546176, cached=2115207168, shared=285335552, slab=349749248)-
1574977753.5790505-[16.0, 8.7, 26.1, 100.0, 36.0, 12.5, 20.8, 16.0]-svmem(total=16609853440, available=14042451968, percent=15.5, used=1991946240, free=12348145664, active=2397519872, inactive=1158291456, buffers=154546176, cached=2115215360, shared=285335552, slab=349847552)-
1574977753.8298855-[48.1, 14.3, 50.0, 23.1, 12.0, 11.5, 12.0, 12.5]-svmem(total=16609853440, available=14040494080, percent=15.5, used=1993887744, free=12346195968, active=2400387072, inactive=1158197248, buffers=154546176, cached=2115223552, shared=285351936, slab=349822976)-
1574977754.08051-[17.2, 57.7, 48.0, 11.5, 4.2, 8.3, 8.3, 15.4]-svmem(total=16609853440, available=14044139520, percent=15.4, used=1990242304, free=12349833216, active=2397806592, inactive=1158205440, buffers=154546176, cached=2115231744, shared=285351936, slab=349798400)-
1574977754.3310862-[32.1, 50.0, 12.0, 65.4, 8.3, 4.3, 16.7, 16.7]-svmem(total=16609853440, available=14041268224, percent=15.5, used=1993113600, free=12346966016, active=2398359552, inactive=1158201344, buffers=154546176, cached=2115227648, shared=285351936, slab=349773824)-
1574977754.5816936-[25.0, 4.3, 16.0, 80.8, 20.8, 20.8, 4.2, 24.0]-svmem(total=16609853440, available=14052986880, percent=15.4, used=1982234624, free=12358684672, active=2387550208, inactive=1157976064, buffers=154546176, cached=2114387968, shared=284512256, slab=349773824)-
1574977754.8322582-[46.2, 14.8, 11.5, 4.2, 38.5, 57.7, 4.0, 11.5]-svmem(total=16609853440, available=14049841152, percent=15.4, used=1985912832, free=12355538944, active=2391527424, inactive=1157443584, buffers=154546176, cached=2113855488, shared=283979776, slab=349782016)-
1574977755.082857-[40.7, 14.3, 20.0, 4.0, 11.5, 66.7, 4.0, 14.8]-svmem(total=16609853440, available=14047772672, percent=15.4, used=1988104192, free=12353470464, active=2394275840, inactive=1157320704, buffers=154546176, cached=2113732608, shared=283856896, slab=349773824)-
1574977755.3336096-[27.3, 4.0, 33.3, 70.8, 4.2, 15.4, 0.0, 0.0]-svmem(total=16609853440, available=14052777984, percent=15.4, used=1983098880, free=12358475776, active=2387484672, inactive=1165574144, buffers=154546176, cached=2113732608, shared=283856896, slab=349773824)-
1574977755.5841994-[52.0, 19.2, 61.5, 18.5, 20.8, 19.2, 8.3, 20.0]-svmem(total=16609853440, available=14062764032, percent=15.3, used=1981837312, free=12368453632, active=2387394560, inactive=1157074944, buffers=154554368, cached=2105008128, shared=275132416, slab=349753344)-
1574977755.8347328-[59.3, 17.9, 20.7, 4.0, 3.8, 24.0, 50.0, 8.0]-svmem(total=16609853440, available=14061449216, percent=15.3, used=1983053824, free=12367138816, active=2390192128, inactive=1157136384, buffers=154554368, cached=2105106432, shared=275230720, slab=349753344)-
1574977756.0857353-[14.8, 11.1, 0.0, 51.9, 7.7, 4.0, 52.0, 20.0]-svmem(total=16609853440, available=14064594944, percent=15.3, used=1979875328, free=12370284544, active=2386182144, inactive=1157156864, buffers=154554368, cached=2105139200, shared=275263488, slab=349720576)-
1574977756.336377-[35.1, 0.0, 20.0, 96.0, 4.2, 7.7, 7.7, 7.7]-svmem(total=16609853440, available=14063546368, percent=15.3, used=1980915712, free=12369244160, active=2386710528, inactive=1157148672, buffers=154554368, cached=2105139200, shared=275263488, slab=349720576)-
1574977756.5870564-[34.3, 14.8, 7.7, 96.0, 14.8, 23.1, 3.8, 0.0]-svmem(total=16609853440, available=14060625920, percent=15.3, used=1983836160, free=12366323712, active=2390433792, inactive=1157148672, buffers=154554368, cached=2105139200, shared=275263488, slab=349720576)-
1574977756.8379989-[14.3, 0.0, 7.7, 32.0, 4.0, 70.8, 13.0, 0.0]-svmem(total=16609853440, available=14062800896, percent=15.3, used=1983766528, free=12368486400, active=2390294528, inactive=1155063808, buffers=154554368, cached=2103046144, shared=273166336, slab=349720576)-
1574977757.0885122-[26.7, 11.5, 76.0, 11.5, 8.0, 20.0, 15.4, 4.2]-svmem(total=16609853440, available=14069633024, percent=15.3, used=1976934400, free=12375306240, active=2383364096, inactive=1155072000, buffers=154554368, cached=2103058432, shared=273166336, slab=349732864)-
1574977757.3391602-[20.7, 7.7, 7.7, 26.9, 7.7, 7.7, 4.0, 100.0]-svmem(total=16609853440, available=14064123904, percent=15.3, used=1982361600, free=12369805312, active=2387865600, inactive=1155141632, buffers=154554368, cached=2103132160, shared=273248256, slab=349724672)-
1574977757.5897667-[28.0, 11.5, 4.0, 4.0, 4.2, 8.0, 8.3, 76.9]-svmem(total=16609853440, available=14069841920, percent=15.3, used=1977442304, free=12375523328, active=2384023552, inactive=1154609152, buffers=154554368, cached=2102333440, shared=272449536, slab=349724672)-
1574977757.8406475-[48.1, 19.2, 11.1, 59.3, 3.8, 0.0, 8.0, 4.0]-svmem(total=16609853440, available=14066192384, percent=15.3, used=1980915712, free=12371881984, active=2387046400, inactive=1154580480, buffers=154554368, cached=2102501376, shared=272625664, slab=349728768)-
1574977758.0913029-[11.1, 12.5, 4.0, 32.0, 4.2, 72.0, 7.7, 0.0]-svmem(total=16609853440, available=14063321088, percent=15.3, used=1983688704, free=12369010688, active=2390556672, inactive=1154662400, buffers=154554368, cached=2102599680, shared=272723968, slab=349728768)-
1574977758.3421211-[21.9, 4.2, 4.0, 0.0, 4.0, 100.0, 0.0, 12.0]-svmem(total=16609853440, available=14074675200, percent=15.3, used=1980338176, free=12380381184, active=2387537920, inactive=1146638336, buffers=154554368, cached=2094579712, shared=264712192, slab=349716480)-
1574977758.5927572-[20.0, 11.1, 19.2, 60.0, 8.0, 38.5, 4.0, 12.0]-svmem(total=16609853440, available=14084349952, percent=15.2, used=1970671616, free=12390047744, active=2378096640, inactive=1146646528, buffers=154554368, cached=2094579712, shared=264712192, slab=349712384)-
1574977758.8432794-[17.2, 10.7, 16.0, 7.4, 4.0, 15.4, 4.0, 96.0]-svmem(total=16609853440, available=14073917440, percent=15.3, used=1981104128, free=12379615232, active=2388963328, inactive=1146646528, buffers=154554368, cached=2094579712, shared=264712192, slab=349704192)-
1574977759.0941644-[0.0, 7.7, 0.0, 0.0, 54.2, 20.0, 0.0, 50.0]-svmem(total=16609853440, available=14072119296, percent=15.3, used=1982902272, free=12377817088, active=2388582400, inactive=1146646528, buffers=154554368, cached=2094579712, shared=264712192, slab=349704192)-
1574977759.3448164-[17.2, 14.3, 3.8, 8.0, 36.0, 15.4, 65.4, 8.0]-svmem(total=16609853440, available=14068895744, percent=15.3, used=1986125824, free=12374573056, active=2392121344, inactive=1146658816, buffers=154554368, cached=2094600192, shared=264712192, slab=349704192)-
1574977759.5953927-[22.6, 11.5, 32.0, 8.0, 8.0, 20.0, 68.0, 12.5]-svmem(total=16609853440, available=14068785152, percent=15.3, used=1986502656, free=12374454272, active=2391867392, inactive=1146400768, buffers=154554368, cached=2094342144, shared=264445952, slab=349708288)-
1574977759.8459291-[11.1, 12.0, 56.0, 40.0, 4.0, 8.0, 0.0, 8.0]-svmem(total=16609853440, available=14074970112, percent=15.3, used=1980362752, free=12380647424, active=2387513344, inactive=1146380288, buffers=154554368, cached=2094288896, shared=264400896, slab=349708288)-
1574977760.0965145-[66.7, 22.6, 11.5, 36.0, 0.0, 4.0, 0.0, 8.3]-svmem(total=16609853440, available=14073397248, percent=15.3, used=1981935616, free=12379082752, active=2388848640, inactive=1146372096, buffers=154554368, cached=2094280704, shared=264400896, slab=349712384)-
1574977760.3470943-[29.6, 11.1, 4.0, 80.0, 11.5, 11.5, 4.0, 20.0]-svmem(total=16609853440, available=14070591488, percent=15.3, used=1984741376, free=12376268800, active=2392608768, inactive=1146372096, buffers=154554368, cached=2094288896, shared=264400896, slab=349716480)-
1574977760.5978563-[14.3, 0.0, 8.0, 4.2, 8.0, 91.7, 8.0, 12.5]-svmem(total=16609853440, available=14084632576, percent=15.2, used=1970958336, free=12390305792, active=2377019392, inactive=1146126336, buffers=154562560, cached=2094026752, shared=264138752, slab=349720576)-
1574977760.848597-[14.8, 7.7, 0.0, 0.0, 8.0, 4.0, 8.0, 96.2]-svmem(total=16609853440, available=14066728960, percent=15.3, used=1988866048, free=12372398080, active=2395881472, inactive=1146126336, buffers=154562560, cached=2094026752, shared=264138752, slab=349712384)-
1574977761.0994954-[11.5, 11.1, 96.0, 11.1, 7.7, 11.5, 7.7, 26.9]-svmem(total=16609853440, available=14071889920, percent=15.3, used=1983705088, free=12377559040, active=2392223744, inactive=1146126336, buffers=154562560, cached=2094026752, shared=264138752, slab=349720576)-
1574977761.3503442-[20.7, 16.7, 88.5, 8.0, 11.1, 4.2, 12.5, 19.2]-svmem(total=16609853440, available=14074535936, percent=15.3, used=1985294336, free=12380213248, active=2391511040, inactive=1142624256, buffers=154562560, cached=2089783296, shared=259903488, slab=349720576)-
1574977761.600905-[28.6, 17.9, 64.0, 48.0, 4.0, 4.0, 4.0, 0.0]-svmem(total=16609853440, available=14071898112, percent=15.3, used=1987145728, free=12377567232, active=2396291072, inactive=1143320576, buffers=154562560, cached=2090577920, shared=260689920, slab=349712384)-
1574977761.8515198-[11.1, 12.0, 7.4, 52.0, 56.0, 0.0, 8.0, 0.0]-svmem(total=16609853440, available=14072922112, percent=15.3, used=1984172032, free=12378591232, active=2391646208, inactive=1145065472, buffers=154562560, cached=2092527616, shared=262639616, slab=349712384)-
1574977762.1021583-[0.0, 14.3, 0.0, 15.4, 26.1, 4.0, 72.0, 0.0]-svmem(total=16609853440, available=14071664640, percent=15.3, used=1985355776, free=12377333760, active=2391785472, inactive=1145065472, buffers=154562560, cached=2092601344, shared=262713344, slab=349712384)-
1574977762.3526895-[36.4, 8.0, 4.2, 91.7, 7.7, 4.0, 12.0, 4.0]-svmem(total=16609853440, available=14079496192, percent=15.2, used=1977327616, free=12385161216, active=2382692352, inactive=1145253888, buffers=154562560, cached=2092802048, shared=262909952, slab=349712384)-
1574977762.603417-[28.0, 26.7, 4.2, 4.0, 100.0, 0.0, 7.7, 7.7]-svmem(total=16609853440, available=14067990528, percent=15.3, used=1988833280, free=12373655552, active=2395537408, inactive=1145253888, buffers=154562560, cached=2092802048, shared=262909952, slab=349728768)-
